OID,AIMSFID,WARD,DISTRICT,NAME,SHAPE_STArea__,SHAPE_STLength__
-1,201727221001416.000000000000000,I2,I204.01,Lenexa 2-04,37400731.373352051000000,26041.714094659030000
-1,201727221001417.000000000000000,I2,I205.01,Lenexa 2-05,12331483.348083496000000,17101.331192569694000
-1,201727221001418.000000000000000,I2,I206.01,Lenexa 2-06,17921263.177673340000000,25259.704060009430000
-1,201727221001419.000000000000000,I2,I207.01,Lenexa 2-07,29505899.397125244000000,31029.535545379720000
-1,201727221001420.000000000000000,I2,I208.01,Lenexa 2-08,12998.454132080078000,585.638120199531950
-1,201727221001421.000000000000000,I2,I209.01,Lenexa 2-09,7153458.997070312500000,14886.938909277471000
-1,201727221001422.000000000000000,I2,I209.02,Lenexa 2-09,26624577.351470947000000,20759.821743633936000
-1,201727221001423.000000000000000,I2,I210.01,Lenexa 2-10,5641974.802795410200000,13337.450877450470000
-1,201727221001424.000000000000000,I2,I211.01,Lenexa 2-11,6604746.313507080100000,10447.273017936037000
-1,201727221001425.000000000000000,I3,I301.01,Lenexa 3-01,9560742.867004394500000,15827.947560445982000
-1,201727221001426.000000000000000,I3,I302.01,Lenexa 3-02,33414718.915161133000000,27826.938808416540000
-1,201727221001427.000000000000000,I3,I303.01,Lenexa 3-03,16407220.184082031000000,19962.105199351787000
-1,201727221001428.000000000000000,I3,I304.01,Lenexa 3-04,6641103.556762695300000,13158.201218349061000
-1,201727221001429.000000000000000,I3,I305.01,Lenexa 3-05,11253082.169982910000000,14727.432653076210000
-1,201727221001430.000000000000000,I3,I306.01,Lenexa 3-06,8422218.859375000000000,12937.719210891479000
-1,201727221001431.000000000000000,I3,I307.01,Lenexa 3-07,13810990.882385254000000,16224.736456325219000
-1,201727221001432.000000000000000,I3,I308.01,Lenexa 3-08,7543731.849731445300000,12209.406315392771000
-1,201727221001433.000000000000000,I3,I309.01,Lenexa 3-09,13826482.671630859000000,16237.142459932169000
-1,201727221001434.000000000000000,I4,I401.01,Lenexa 4-01,4236679.311126709000000,9965.608899564815100
-1,201727221001435.000000000000000,I4,I402.01,Lenexa 4-02,7027009.947204589800000,10628.355007782602000
